,Winner
2128,Red
2696,Blue
5817,Red
653,Blue
6219,Red
1211,Blue
1681,Blue
5611,Red
1031,Red
2636,Blue
4381,Red
320,Blue
6167,Red
1905,Blue
4687,Red
5098,Red
5642,Red
4565,Red
6623,Red
348,Red
149,Red
5293,Blue
2902,Red
2998,Red
5841,Red
2252,Red
4781,Red
3222,Blue
3263,Red
733,Red
5101,Red
4424,Red
1325,Blue
4245,Red
2943,Red
4557,Blue
5623,Red
2419,Red
6676,Red
5649,Red
2763,Blue
3382,Red
5899,Red
4803,Blue
6419,Red
5714,Red
5864,Red
236,Red
353,Blue
3608,Blue
800,Red
1086,Red
5473,Red
5619,Red
4593,Blue
6568,Red
5253,Red
2362,Red
4767,Blue
376,Blue
6023,Red
5164,Blue
1123,Red
1697,Red
3199,Red
243,Red
4096,Red
3892,Red
2202,Blue
2791,Blue
4230,Blue
6155,Red
3318,Blue
1751,Blue
3963,Red
2154,Blue
331,Blue
2633,Red
2309,Red
2743,Blue
3286,Red
4239,Red
6252,Red
2765,Red
4742,Red
5419,Blue
3761,Red
1002,Blue
1530,Red
203,Red
5510,Red
423,Blue
4955,Red
5388,Blue
1209,Red
5110,Red
1728,Blue
6652,Red
6421,Red
4967,Red
2232,Red
3409,Blue
5902,Red
6002,Red
2254,Blue
4502,Blue
5476,Red
2490,Red
6284,Red
4689,Red
730,Red
3375,Red
5109,Red
1695,Red
3323,Blue
6560,Red
1693,Red
736,Blue
4794,Red
3644,Red
4309,Blue
1256,Red
5285,Blue
897,Red
4150,Red
1959,Red
4439,Red
6027,Red
4134,Red
4775,Red
4664,Red
1463,Red
1745,Blue
4357,Red
2549,Red
2784,Red
2612,Red
3128,Red
6352,Red
4628,Blue
3734,Red
5390,Red
4487,Red
5978,Red
1668,Blue
6694,Red
5625,Red
5788,Red
6336,Red
796,Red
5965,Red
974,Red
3457,Blue
1628,Red
2334,Blue
2850,Red
5903,Red
5963,Red
4304,Red
1877,Blue
4040,Blue
5117,Blue
1664,Blue
176,Red
5595,Red
2989,Red
1630,Blue
5874,Red
2820,Blue
5354,Blue
1790,Blue
580,Blue
5002,Red
2,Red
5860,Red
6076,Red
1784,Red
983,Red
5976,Red
1490,Blue
3933,Red
5332,Blue
4111,Blue
1720,Blue
5242,Red
4751,Red
5615,Red
226,Red
146,Blue
4701,Red
5108,Blue
4061,Red
1931,Red
3725,Red
5290,Red
3079,Red
604,Red
4943,Blue
99,Red
1437,Blue
6220,Red
4888,Red
1922,Red
689,Red
2416,Red
3591,Red
6043,Red
5425,Red
6502,Red
2517,Blue
1748,Blue
2561,Red
496,Red
2698,Blue
1752,Red
3868,Red
2452,Red
1290,Red
5938,Red
5120,Red
3858,Red
2017,Red
6356,Red
2934,Red
5051,Red
3297,Red
5966,Red
1219,Red
2190,Red
4053,Red
6082,Red
1934,Blue
5209,Red
5731,Red
992,Red
1294,Red
6117,Red
2158,Red
5808,Red
5313,Red
1228,Red
2102,Blue
309,Red
1051,Red
2876,Red
1970,Red
4699,Red
4889,Red
5157,Red
6104,Red
4170,Blue
5409,Red
1758,Blue
4354,Red
24,Red
667,Red
5919,Red
1883,Blue
4790,Red
4203,Blue
1101,Blue
5705,Red
3448,Blue
4276,Red
5756,Red
342,Red
3625,Red
792,Red
4805,Red
5583,Red
4520,Blue
1074,Red
3016,Red
3450,Blue
4128,Blue
4164,Red
1092,Blue
6705,Red
5627,Red
1041,Red
558,Blue
5562,Red
4789,Red
4258,Red
3400,Blue
5689,Red
2105,Blue
4470,Red
1090,Red
4968,Red
3885,Red
35,Red
1729,Blue
5451,Red
2373,Red
4908,Blue
4668,Red
5503,Red
5068,Blue
4332,Blue
6463,Red
2440,Blue
363,Red
2889,Blue
6513,Red
2942,Red
231,Blue
2843,Red
772,Red
2372,Blue
501,Blue
1452,Red
5470,Red
136,Red
2563,Red
1526,Blue
986,Blue
304,Red
2699,Red
3692,Red
2112,Blue
138,Red
483,Red
3296,Blue
632,Red
553,Blue
2428,Red
31,Blue
6272,Red
4361,Blue
4867,Red
3010,Red
5904,Red
1360,Blue
2580,Blue
3668,Red
1265,Red
3508,Blue
1802,Blue
6648,Red
4713,Red
3443,Blue
20,Blue
152,Red
6031,Red
470,Red
3173,Red
2253,Red
3838,Red
4402,Red
2283,Red
2835,Red
5644,Red
3809,Blue
6684,Red
3907,Red
2327,Red
6691,Red
3191,Red
2065,Red
3738,Red
5601,Red
5958,Red
746,Blue
4,Red
3415,Red
2615,Blue
4186,Blue
1431,Red
1779,Red
3751,Red
182,Blue
3216,Red
5058,Red
3516,Red
4536,Red
5226,Blue
4768,Red
2609,Red
120,Red
4318,Red
2715,Red
3433,Red
4529,Red
637,Red
6385,Red
2138,Red
2110,Blue
5053,Red
6152,Red
893,Blue
638,Red
6353,Red
4578,Blue
4425,Red
935,Blue
4603,Blue
5133,Red
3058,Red
5004,Blue
4397,Red
76,Blue
1641,Red
1733,Red
728,Blue
3155,Red
2408,Blue
2844,Blue
2136,Red
6079,Red
5762,Red
783,Blue
370,Blue
2032,Blue
3663,Red
5854,Red
3100,Red
5420,Red
2255,Red
1785,Blue
3063,Red
3483,Blue
5042,Red
3481,Red
1581,Blue
5906,Red
2728,Blue
1566,Red
